lambda,n,k
969,2.467882437,5.637034505
970,2.467846406,5.643350844
971,2.467813027,5.649661279
972,2.46778229,5.655965827
973,2.467638689,5.662529532
974,2.467498139,5.66908697
975,2.467360632,5.675638157
976,2.467226149,5.682183108
977,2.467094682,5.68872184
978,2.466966199,5.69525436
979,2.467645583,5.702128964
980,2.468326567,5.708996062
981,2.469407282,5.714934149
982,2.470488275,5.720866395
983,2.471569534,5.726792816
984,2.472651069,5.732713433
985,2.473732869,5.73862826
986,2.474814922,5.744537309
987,2.475897237,5.750440603
988,2.476979803,5.756338154
989,2.477331797,5.763929833
990,2.477686628,5.771512765
991,2.478653247,5.779348127
992,2.479621436,5.787173715
993,2.48059118,5.794989563
994,2.481562464,5.802795703
995,2.48253527,5.81059217
996,2.48423011,5.816691434
997,2.485924076,5.822784429
998,2.487617167,5.828871175
999,2.489309385,5.834951689
1000,2.491000729,5.841025991
1001,2.492362278,5.846953884
1002,2.493723536,5.852875966
1003,2.495084509,5.858792257
1004,2.496317192,5.865003512
1005,2.497549934,5.871208479
1006,2.498782744,5.877407184
1007,2.500015604,5.883599637
1008,2.501248525,5.889785863
1009,2.502481487,5.895965875
1010,2.503714502,5.902139695
1011,2.504947553,5.908307336
1012,2.506180647,5.914468821
1013,2.507919326,5.91943066
1014,2.509656844,5.924388363
1015,2.511393211,5.929341942
1016,2.513128416,5.934291401
1017,2.514862475,5.939236758
1018,2.516595375,5.944178015
1019,2.518327133,5.94911519
1020,2.520057737,5.954048286
1021,2.521787203,5.95897732
1022,2.52351552,5.963902295
1023,2.524806584,5.969104107
1024,2.526097258,5.974301505
1025,2.527387556,5.979494504
1026,2.528677469,5.984683113
1027,2.529966991,5.98986734
1028,2.531256134,5.995047201
1029,2.53254489,6.000222705
1030,2.533833252,6.005393858
